web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,ratings
"1637688292-2740","https://www.jumia.ma/maquillage/?page=5#catalog-listing","Palette de maquillage multi3.9 out of 5(81)65.00 Dhs139.00 Dhs53%","https://www.jumia.ma/palette-de-maquillage-multi-generic-mpg937921.html","Palette de maquillage multi","65.00 Dhs","(81 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232ST0745N9NAFAMZ/","null","3 out of 5"
"1637685525-2057","https://www.jumia.ma/maquillage/?page=20#catalog-listing","Kiss Beauty Highlight and Contour Accent et Contour Stick Baton3.1 out of 5(11)32.00 Dhs99.00 Dhs68%offres à partir de","https://www.jumia.ma/highlight-and-contour-accent-et-contour-stick-baton-kiss-beauty-mpg91057.html","Kiss Beauty Highlight and Contour Accent et Contour Stick Baton","32.00 Dhs","(11 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/KI458ST0OHTY0NAFAMZ/","null","3 out of 5"
"1637683458-1904","https://www.jumia.ma/maquillage/?page=35#catalog-listing","Golden Rose Gloss Natural Shine Nude Look 01 Nude Delight 4.5ml5 out of 5(1)79.00 Dhs","https://www.jumia.ma/golden-rose-gloss-natural-shine-nude-look-01-nude-delight-4.5ml-37947397.html","Golden Rose Gloss Natural Shine Nude Look 01 Nude Delight 4.5ml","79.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GO870ST1B9A4DNAFAMZ/","null","5 out of 5"
"1637688292-2737","https://www.jumia.ma/maquillage/?page=5#catalog-listing","Palette de maquillage multi3.9 out of 5(81)65.00 Dhs139.00 Dhs53%","https://www.jumia.ma/palette-de-maquillage-multi-generic-mpg937921.html","Palette de maquillage multi","65.00 Dhs","(81 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232ST0745N9NAFAMZ/","null","5 out of 5"
"1637688787-3019","https://www.jumia.ma/maquillage/?page=3#catalog-listing","Jessica's all Natural Blush liquide lèvres et joues Aker Fassi 30 ml Fard à joues et Baume à lèvres4.1 out of 5(24)69.00 Dhs99.00 Dhs30%","https://www.jumia.ma/jessicas-all-natural-blush-liquide-levres-et-joues-aker-fassi-30-ml-fard-a-joues-et-baume-a-levres-38821911.html","Jessica's all Natural Blush liquide lèvres et joues Aker Fassi 30 ml Fard à joues et Baume à lèvres","69.00 Dhs","(24 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BR661ST073C1FNAFAMZ/","null","1 out of 5"
"1637687756-2533","https://www.jumia.ma/maquillage/?page=8#catalog-listing","Revolution Makeup Palette "" FLAWLESS 4 ""3.5 out of 5(4)56.99 Dhs","https://www.jumia.ma/makeup-palette-flawless-4-revolution-mpg75273.html","Revolution Makeup Palette "" FLAWLESS 4 ""","56.99 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RE466ST0YCS7HNAFAMZ/","null","1 out of 5"
"1637687751-2526","https://www.jumia.ma/maquillage/?page=8#catalog-listing","Boutique OfficielleTechnic Colour Fix Blush Palette4.3 out of 5(14)70.00 Dhs115.00 Dhs39%offres à partir de","https://www.jumia.ma/colour-fix-blush-palette-technic-mpg882794.html","Technic Colour Fix Blush Palette","70.00 Dhs","(14 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TE505HB0CUEN8NAFAMZ/","null","5 out of 5"
"1637686654-2234","https://www.jumia.ma/maquillage/?page=14#catalog-listing","Boutique OfficielleRevolution Makeup Revolution Conceal & Define C114.3 out of 5(3)75.00 Dhs","https://www.jumia.ma/makeup-conceal-define-c11-revolution-mpg887237.html","Revolution Makeup Revolution Conceal & Define C11","75.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RE466HB1KCB62NAFAMZ/","null","5 out of 5"
"1637687666-2490","https://www.jumia.ma/maquillage/?page=8#catalog-listing","Chanlanya Palette de blush bronzant et contour  10 couleurs4.1 out of 5(16)55.00 Dhs59.00 Dhs7%","https://www.jumia.ma/chanlanya-palette-de-blush-bronzant-et-contour-10-couleurs-24579527.html","Chanlanya Palette de blush bronzant et contour  10 couleurs","55.00 Dhs","(16 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/CH976HB1780MENAFAMZ/","null","5 out of 5"
"1637681738-1794","https://www.jumia.ma/maquillage/?page=47#catalog-listing","Essence Base Matifiante Prime + Studio Mattifying + Pore Minimizing 30ml4.1 out of 5(10)89.00 Dhs120.00 Dhs26%","https://www.jumia.ma/base-matifiante-prime-studio-mattifying-pore-minimizing-30ml-essence-mpg863020.html","Essence Base Matifiante Prime + Studio Mattifying + Pore Minimizing 30ml","89.00 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/ES309ST0CBR0XNAFAMZ/","null","3 out of 5"
